sic,description,as_of_date,value,is_sa,release_as_of_date
541,Grocery stores,1994-11-01,31876,0,1994-11-01
56,Apparel and accessory stores,1994-11-01,10208,0,1994-11-01
58,Eating and drinking places,1994-11-01,18398,0,1994-11-01
591,Drug and proprietary stores,1994-11-01,6812,0,1994-11-01
553,Auto and home supply stores,1993-11-01,3152,0,1994-11-01
571,Furniture and home furnishings,1993-11-01,5398,0,1994-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1993-11-01,4301,0,1994-11-01
53,General merchandise group stores,1993-11-01,26863,0,1994-11-01
541,Grocery stores,1993-11-01,30565,0,1994-11-01
56,Apparel and accessory stores,1993-11-01,9950,0,1994-11-01
58,Eating and drinking places,1993-11-01,17101,0,1994-11-01
591,Drug and proprietary stores,1993-11-01,6633,0,1994-11-01
592,Liquor stores,1993-11-01,1733,0,1994-11-01
5961,Total mail order,1993-11-01,3504,0,1994-11-01
53,General merchandise group stores,1994-12-01,23983,1,1994-12-01
541,Grocery stores,1994-12-01,32103,1,1994-12-01
56,Apparel and accessory stores,1994-12-01,9170,1,1994-12-01
58,Eating and drinking places,1994-12-01,19261,1,1994-12-01
591,Drug and proprietary stores,1994-12-01,6968,1,1994-12-01
553,Auto and home supply stores,1993-12-01,3082,1,1994-12-01
571,Furniture and home furnishings,1993-12-01,5129,1,1994-12-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1993-12-01,4091,1,1994-12-01
53,General merchandise group stores,1993-12-01,22778,1,1994-12-01
541,Grocery stores,1993-12-01,31303,1,1994-12-01
56,Apparel and accessory stores,1993-12-01,8878,1,1994-12-01
58,Eating and drinking places,1993-12-01,17878,1,1994-12-01
591,Drug and proprietary stores,1993-12-01,6874,1,1994-12-01
592,Liquor stores,1993-12-01,1719,1,1994-12-01
5961,Total mail order,1993-12-01,2701,1,1994-12-01
53,General merchandise group stores,1994-12-01,42189,0,1994-12-01
541,Grocery stores,1994-12-01,35089,0,1994-12-01
56,Apparel and accessory stores,1994-12-01,15406,0,1994-12-01
58,Eating and drinking places,1994-12-01,19608,0,1994-12-01
